X,Y,id,name
23.7614542,37.9864972,5168803,Κηφισίας
23.7615506,37.9866341,5168803,Κηφισίας
23.7619016,37.9870114,5168803,Κηφισίας
23.7621174,37.9872199,5168803,Κηφισίας
23.7623317,37.9874009,5168803,Κηφισίας
23.7623826,37.9874439,5168803,Κηφισίας
23.762459,37.9875065,5168803,Κηφισίας
23.7629909,37.987939,5168803,Κηφισίας
23.7632074,37.988121,5168803,Κηφισίας
23.7637074,37.9885314,5168803,Κηφισίας
23.7637373,37.9885619,5168803,Κηφισίας
23.7637958,37.9886238,5168803,Κηφισίας
23.7641804,37.9890781,5168803,Κηφισίας
23.7642025,37.9891046,5168803,Κηφισίας
23.764237,37.989139,5168803,Κηφισίας
23.7392463,37.9574221,5203794,Αίνου
23.7384406,37.9572831,5203794,Αίνου
23.735266,37.9569363,5203817,Κασομούλη
23.7351831,37.956919,5203817,Κασομούλη
23.7351446,37.956907,5203817,Κασομούλη
23.734839,37.956812,5203817,Κασομούλη
23.7346925,37.9567745,5203817,Κασομούλη
23.7345375,37.9567711,5203817,Κασομούλη
23.734354,37.9567932,5203817,Κασομούλη
23.734215,37.9568206,5203817,Κασομούλη
23.7340487,37.9568534,5203817,Κασομούλη
23.7333176,37.956984,5203817,Κασομούλη
23.7245348,37.9629015,5203818,Αμβροσίου Φραντζή
23.7245957,37.96282,5203818,Αμβροσίου Φραντζή
23.6816285,37.9436354,5203828,Καποδιστρίου
23.6820991,37.9447015,5203828,Καποδιστρίου
23.6821568,37.9447846,5203828,Καποδιστρίου
23.682237,37.9448346,5203828,Καποδιστρίου
23.6826484,37.9457026,5203828,Καποδιστρίου
23.6828893,37.94621,5203828,Καποδιστρίου
23.6830736,37.9466134,5203828,Καποδιστρίου
23.6834857,37.9476384,5203828,Καποδιστρίου
23.6837598,37.9483108,5203828,Καποδιστρίου
23.6840093,37.9489272,5203828,Καποδιστρίου
23.6841734,37.9493217,5203828,Καποδιστρίου
23.6843473,37.9497342,5203828,Καποδιστρίου
23.6791776,37.94564,5203829,Αγίου Κωνσταντίνου
23.6803427,37.9453127,5203829,Αγίου Κωνσταντίνου
23.680845,37.9451684,5203829,Αγίου Κωνσταντίνου
23.6813873,37.9450124,5203829,Αγίου Κωνσταντίνου
23.6821568,37.9447846,5203829,Αγίου Κωνσταντίνου
23.6879726,37.9559969,5203837,Καμπούρη Εμμ.
23.6880425,37.9558778,5203837,Καμπούρη Εμμ.
23.6892555,37.9555659,5203837,Καμπούρη Εμμ.
23.6907835,37.955173,5203837,Καμπούρη Εμμ.
23.6850247,37.9565734,5203845,Θεσσαλονίκης
23.6851333,37.9566067,5203845,Θεσσαλονίκης
23.6851602,37.9566149,5203845,Θεσσαλονίκης
23.6851846,37.9566223,5203845,Θεσσαλονίκης
23.6852408,37.9566395,5203845,Θεσσαλονίκης
23.6872551,37.957254,5203845,Θεσσαλονίκης
23.688792,37.957738,5203845,Θεσσαλονίκης
23.6889519,37.9577879,5203845,Θεσσαλονίκης
23.6890809,37.9578281,5203845,Θεσσαλονίκης
23.6898358,37.9580636,5203845,Θεσσαλονίκης
23.6898728,37.9580751,5203845,Θεσσαλονίκης
23.6899782,37.958108,5203845,Θεσσαλονίκης
23.6900971,37.9581446,5203845,Θεσσαλονίκης
23.6915033,37.9585778,5203845,Θεσσαλονίκης
23.6915614,37.9585962,5203845,Θεσσαλονίκης
23.6926275,37.9589344,5203845,Θεσσαλονίκης
23.6920646,37.9561445,5203859,Πλωμαρίου
23.6914341,37.9567379,5203859,Πλωμαρίου
23.6909241,37.9572178,5203859,Πλωμαρίου
23.6905087,37.9576087,5203859,Πλωμαρίου
23.6900653,37.9580334,5203859,Πλωμαρίου
23.6900971,37.9581446,5203859,Πλωμαρίου
23.6795664,37.9536829,5208726,Στρατηγού Μακρυγιάννη
23.6792547,37.9526633,5208726,Στρατηγού Μακρυγιάννη
23.6791789,37.9524403,5208726,Στρατηγού Μακρυγιάννη
23.6790272,37.9519942,5208726,Στρατηγού Μακρυγιάννη
23.6790093,37.9519282,5208726,Στρατηγού Μακρυγιάννη
23.6786372,37.9507862,5208726,Στρατηγού Μακρυγιάννη
23.7315867,37.9684154,5209166,Ανδρέα Συγγρού
23.731461,37.9683182,5209166,Ανδρέα Συγγρού
23.7313036,37.9681963,5209166,Ανδρέα Συγγρού
23.7309288,37.9679063,5209166,Ανδρέα Συγγρού
23.7308273,37.9678278,5209166,Ανδρέα Συγγρού
23.7305574,37.967619,5209166,Ανδρέα Συγγρού
23.7304383,37.9675268,5209166,Ανδρέα Συγγρού
23.7303776,37.9674798,5209166,Ανδρέα Συγγρού
23.7302306,37.9673661,5209166,Ανδρέα Συγγρού
23.7334496,37.9672276,5209181,Καλλιρόης
23.7333121,37.9672144,5209181,Καλλιρόης
23.7332128,37.9672038,5209181,Καλλιρόης
23.7329084,37.9671699,5209181,Καλλιρόης
23.7325879,37.9671393,5209181,Καλλιρόης
23.7324377,37.967116,5209181,Καλλιρόης
23.7322553,37.9670811,5209181,Καλλιρόης
23.7321105,37.9670198,5209181,Καλλιρόης
23.7319428,37.9669331,5209181,Καλλιρόης
23.7316277,37.9667407,5209181,Καλλιρόης
23.7314278,37.9666075,5209181,Καλλιρόης
23.7313742,37.9665694,5209181,Καλλιρόης
